country_name,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
Spain,16620.937,17325.517,18374.841,19120.069,20148.386,21211.034,22416.165,23880.729,25246.885,25920.805,26722.328,27860.794,29235.933,30878.889,32223.444,32597.784,31302.023,31601.897,31872.363,31724.784,32463.125,33558.979,34954.853,37329.293,39647.785,41308.037,42492.026,38044.067,42356.615,47669.667,50436.18,52012.448,53196.52168144354,54130.05591264018,55297.28060515264,57196.236254704636,59151.816422863114
Switzerland,33172.325,34021.135,34681.015,35258.617,36572.274,37988.682,39001.417,41292.689,42703.596,42992.588,43460.503,45449.362,47878.298,51106.201,54181.802,56086.66,54351.645,56163.113,57790.504,59751.312,62058.508,63811.096,65613.767,67690.604,68924.081,71966.628,73492.548,72255.288,79058.938,86195.048,89243.299,91931.752,94795.83632304345,97224.01295760422,99202.29603772232,101929.28139771015,104751.79454437006
United States,26364.192,27674.021,28671.48,29946.973,31440.087,32833.666,34496.241,36312.782,37101.453,37945.761,39405.354,41641.617,44034.256,46216.853,47943.353,48470.553,47102.428,48586.288,50008.108,51736.738,53363.904,55263.817,57006.926,58179.697,60292.978,63165.278,65504.783,64367.435,70995.794,77191.871,81632.253,85372.686,87808.5946478041,90172.48500819763,92666.44403121981,95200.11477901242,98297.37107237335
India,1367.822,1460.249,1572.155,1688.531,1753.237,1847.385,2001.886,2087.485,2197.354,2275.59,2460.132,2681.209,2936.898,3222.02,3510.97,3636.961,3892.56,4216.181,4467.467,4827.944,5016.928,5187.256,5412.335,5778.27,6112.066,6583.59,6882.332,6507.86,7406.466,8424.352,9339.349,10122.951,10558.160874073474,10910.371407765,11293.929403254606,11809.830853434667,12290.497044108075
Venezuela,11427.619,11146.894,11575.821,11516.704,12210.037,12140.77,11350.44,11640.053,12103.331,11021.09,10201.204,12195.554,13659.605,15232.895,16756.514,17710.636,16993.128,16695.002,17493.729,18551.879,18850.906,18176.005,16970.969,14169.523,12271.362,10622.181,8117.036,5729.831,6132.464,7265.562,7942.862,8485.876,598.9417536836968,584.9907388689371,948.9902050401492,2566.064929203214,3524.4954200419743
